candle_time,symbol,instrument_token,start_ts,end_ts,open,high,low,close
09:13:00,NIFTY25D2326150PE,14596866,1766029320,1766029380,314.35,314.35,314.35,314.35
09:16:00,NIFTY25D2326150PE,14596866,1766029500,1766029560,314.35,367.1,314.35,365.3
09:17:00,NIFTY25D2326150PE,14596866,1766029560,1766029620,365.3,370.1,355.85,358.2
09:18:00,NIFTY25D2326150PE,14596866,1766029620,1766029680,356.6,362.25,353.65,356.3
09:19:00,NIFTY25D2326150PE,14596866,1766029680,1766029740,353.65,356.85,353.65,355.55
09:20:00,NIFTY25D2326150PE,14596866,1766029740,1766029800,350.9,360.8,348.1,357.75
09:24:00,NIFTY25D2326150PE,14596866,1766029980,1766030040,351.35,351.35,345.0,346.7
09:29:00,NIFTY25D2326150PE,14596866,1766030280,1766030340,344.55,355.0,344.55,353.15
09:30:00,NIFTY25D2326150PE,14596866,1766030340,1766030400,348.0,352.0,344.0,352.0
09:31:00,NIFTY25D2326150PE,14596866,1766030400,1766030460,352.0,352.3,344.45,344.45
09:32:00,NIFTY25D2326150PE,14596866,1766030460,1766030520,344.45,349.2,340.45,343.8
09:33:00,NIFTY25D2326150PE,14596866,1766030520,1766030580,343.8,352.5,343.8,349.05
09:34:00,NIFTY25D2326150PE,14596866,1766030580,1766030640,352.35,359.05,351.35,351.35
09:35:00,NIFTY25D2326150PE,14596866,1766030640,1766030700,351.35,355.8,348.9,352.35
09:36:00,NIFTY25D2326150PE,14596866,1766030700,1766030760,352.35,361.8,352.35,361.8
09:37:00,NIFTY25D2326150PE,14596866,1766030760,1766030820,361.8,361.8,352.9,353.5
09:38:00,NIFTY25D2326150PE,14596866,1766030820,1766030880,353.5,353.5,345.6,350.25
09:39:00,NIFTY25D2326150PE,14596866,1766030880,1766030940,352.05,355.0,350.0,355.0
09:40:00,NIFTY25D2326150PE,14596866,1766030940,1766031000,356.85,356.9,353.85,356.9
09:41:00,NIFTY25D2326150PE,14596866,1766031000,1766031060,357.85,364.6,357.4,357.6
09:42:00,NIFTY25D2326150PE,14596866,1766031060,1766031120,359.85,366.9,355.15,366.9
09:43:00,NIFTY25D2326150PE,14596866,1766031120,1766031180,364.2,378.05,364.2,376.75
