candle_time,symbol,instrument_token,start_ts,end_ts,open,high,low,close
11:37:00,NIFTY25D2326650CE,14602242,1766037960,1766038020,2.35,2.4,2.35,2.35
11:38:00,NIFTY25D2326650CE,14602242,1766038020,1766038080,2.35,2.35,2.3,2.35
11:39:00,NIFTY25D2326650CE,14602242,1766038080,1766038140,2.35,2.35,2.35,2.35
11:40:00,NIFTY25D2326650CE,14602242,1766038140,1766038200,2.35,2.35,2.3,2.35
11:41:00,NIFTY25D2326650CE,14602242,1766038200,1766038260,2.3,2.35,2.25,2.3
11:42:00,NIFTY25D2326650CE,14602242,1766038260,1766038320,2.3,2.35,2.25,2.3
11:43:00,NIFTY25D2326650CE,14602242,1766038320,1766038380,2.3,2.3,2.25,2.25
11:44:00,NIFTY25D2326650CE,14602242,1766038380,1766038440,2.3,2.3,2.25,2.3
11:45:00,NIFTY25D2326650CE,14602242,1766038440,1766038500,2.3,2.3,2.25,2.3
11:46:00,NIFTY25D2326650CE,14602242,1766038500,1766038560,2.3,2.3,2.25,2.25
11:47:00,NIFTY25D2326650CE,14602242,1766038560,1766038620,2.25,2.3,2.25,2.25
11:48:00,NIFTY25D2326650CE,14602242,1766038620,1766038680,2.25,2.4,2.25,2.4
11:49:00,NIFTY25D2326650CE,14602242,1766038680,1766038740,2.4,2.4,2.35,2.35
11:50:00,NIFTY25D2326650CE,14602242,1766038740,1766038800,2.35,2.4,2.35,2.35
11:51:00,NIFTY25D2326650CE,14602242,1766038800,1766038860,2.35,2.4,2.35,2.35
11:52:00,NIFTY25D2326650CE,14602242,1766038860,1766038920,2.3,2.35,2.3,2.35
11:53:00,NIFTY25D2326650CE,14602242,1766038920,1766038980,2.35,2.35,2.3,2.3
11:54:00,NIFTY25D2326650CE,14602242,1766038980,1766039040,2.3,2.35,2.25,2.3
11:55:00,NIFTY25D2326650CE,14602242,1766039040,1766039100,2.3,2.35,2.25,2.3
11:56:00,NIFTY25D2326650CE,14602242,1766039100,1766039160,2.3,2.35,2.3,2.35
11:57:00,NIFTY25D2326650CE,14602242,1766039160,1766039220,2.35,2.35,2.3,2.3
11:58:00,NIFTY25D2326650CE,14602242,1766039220,1766039280,2.3,2.35,2.3,2.35
11:59:00,NIFTY25D2326650CE,14602242,1766039280,1766039340,2.35,2.35,2.25,2.25
12:00:00,NIFTY25D2326650CE,14602242,1766039340,1766039400,2.3,2.35,2.25,2.3
12:01:00,NIFTY25D2326650CE,14602242,1766039400,1766039460,2.3,2.4,2.3,2.4
12:02:00,NIFTY25D2326650CE,14602242,1766039460,1766039520,2.4,2.45,2.4,2.45
12:03:00,NIFTY25D2326650CE,14602242,1766039520,1766039580,2.45,2.45,2.4,2.45
12:04:00,NIFTY25D2326650CE,14602242,1766039580,1766039640,2.45,2.45,2.4,2.4
12:05:00,NIFTY25D2326650CE,14602242,1766039640,1766039700,2.4,2.4,2.35,2.4
12:06:00,NIFTY25D2326650CE,14602242,1766039700,1766039760,2.4,2.4,2.4,2.4
12:07:00,NIFTY25D2326650CE,14602242,1766039760,1766039820,2.4,2.4,2.35,2.4
12:08:00,NIFTY25D2326650CE,14602242,1766039820,1766039880,2.4,2.4,2.35,2.35
12:09:00,NIFTY25D2326650CE,14602242,1766039880,1766039940,2.35,2.35,2.3,2.3
12:10:00,NIFTY25D2326650CE,14602242,1766039940,1766040000,2.3,2.35,2.3,2.3
12:11:00,NIFTY25D2326650CE,14602242,1766040000,1766040060,2.3,2.35,2.25,2.35
12:12:00,NIFTY25D2326650CE,14602242,1766040060,1766040120,2.35,2.35,2.3,2.3
12:13:00,NIFTY25D2326650CE,14602242,1766040120,1766040180,2.3,2.3,2.25,2.3
12:14:00,NIFTY25D2326650CE,14602242,1766040180,1766040240,2.3,2.3,2.25,2.3
12:15:00,NIFTY25D2326650CE,14602242,1766040240,1766040300,2.3,2.3,2.25,2.3
12:16:00,NIFTY25D2326650CE,14602242,1766040300,1766040360,2.3,2.3,2.2,2.25
12:17:00,NIFTY25D2326650CE,14602242,1766040360,1766040420,2.25,2.3,2.25,2.3
12:18:00,NIFTY25D2326650CE,14602242,1766040420,1766040480,2.3,2.3,2.25,2.3
12:19:00,NIFTY25D2326650CE,14602242,1766040480,1766040540,2.3,2.3,2.25,2.3
